iter	RMSE
0	4.858850243
1	4.554186253
2	4.321460192
3	4.101877688
4	3.886261895
5	3.699432839
6	3.501948077
7	3.344063223
8	3.18481605
9	3.003803302
10	2.864221987
11	2.735109936
12	2.625823075
13	2.528053278
14	2.435711671
15	2.352166291
16	2.263746248
17	2.173783976
18	2.096762267
19	2.068080215
20	2.000905989
21	1.936393773
22	1.867244996
23	1.80479318
24	1.757539652
25	1.718077292
26	1.677274596
27	1.623171249
28	1.565760058
29	1.525478669
30	1.506668263
31	1.462206307
32	1.415614617
33	1.390894452
34	1.351300566
35	1.314207035
36	1.291618256
37	1.272068912
38	1.247015393
39	1.212497501
40	1.17247168
41	1.160027487
42	1.131750845
43	1.115297069
44	1.104815652
45	1.073948228
46	1.058721313
47	1.042933715
48	1.03415736
49	1.000588859
50	0.9784462661
51	0.9570702233
52	0.9320054658
53	0.9247072073
54	0.9119728333
55	0.8977571477
56	0.8769200956
57	0.8614995233
58	0.8393463032
59	0.8335649831
60	0.8214344436
61	0.8141377526
62	0.8051637253
63	0.7885366609
64	0.7809869901
65	0.7693345637
66	0.7638297864
67	0.7597112399
68	0.7539909308
69	0.7373443712
70	0.7339033974
71	0.72821877
72	0.7197912053
73	0.7167424837
74	0.6956369717
75	0.6782517426
76	0.6617664186
77	0.6542763989
78	0.647209219
79	0.6447562033
80	0.6400450052
81	0.6361526021
82	0.6306616792
83	0.6158711903
84	0.611647882
85	0.608390929
86	0.596759708
87	0.5936890683
88	0.5911820386
89	0.5882976586
90	0.5794412524
91	0.5693200916
92	0.5667352024
93	0.558068618
94	0.5556580884
95	0.5468543829
96	0.5422740234
97	0.540555509
98	0.5389427025
99	0.5353431019
