iter	Passed	Remaining
0	1	112
1	1	77
2	2	76
3	3	75
4	3	74
5	4	73
6	5	72
7	6	71
8	6	70
9	7	70
10	8	70
11	9	69
12	10	69
13	11	69
14	11	67
15	12	66
16	13	65
17	14	64
18	14	63
19	15	63
20	16	61
21	17	60
22	17	59
23	18	58
24	19	58
25	19	56
26	20	55
27	21	55
28	22	54
29	23	53
30	23	52
31	24	51
32	25	51
33	25	49
34	26	49
35	27	48
36	27	47
37	28	46
38	29	46
39	30	45
40	30	44
41	31	43
42	32	43
43	33	42
44	33	41
45	34	40
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	39	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	46	27
63	47	26
64	48	26
65	49	25
66	50	24
67	51	24
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	55	19
74	56	18
75	56	17
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	62	12
83	63	12
84	64	11
85	64	10
86	65	9
87	66	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	72	3
95	73	3
96	73	2
97	74	1
98	75	0
99	76	0
